LOG 2024/04/21
Save Path: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Logs
Task Start: 2024/04/21 14:30:55
Task CommandLine: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\N_m3u8DL-CLI_v3.0.2.exe https://cdn2.jiuse2.cloud/hls/843227/index.m3u8?t=1713681102&m=Qb9xpOxcdpjlN4WKsk2X4g --saveName 单男无套爆操黑丝E奶御姐 --workDir D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Downloads
14:31:08.784 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/843227/index30.ts
14:31:08.918 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index26.ts
14:31:09.133 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index27.ts
14:31:09.141 / (ERROR) DOWN: AUTO RETRY 3/3 https://cdn2.jiuse2.cloud/hls/843227/index23.ts
14:31:09.446 / (ERROR) DOWN: AUTO RETRY 2/3 https://cdn2.jiuse2.cloud/hls/843227/index28.ts
14:31:09.616 / (ERROR) DOWN: AUTO RETRY 2/3 https://cdn2.jiuse2.cloud/hls/843227/index29.ts
14:31:09.878 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index23.ts
14:31:09.924 / (ERROR) DOWN: AUTO RETRY 3/3 https://cdn2.jiuse2.cloud/hls/843227/index26.ts
14:31:10.085 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index29.ts
14:31:10.137 / (ERROR) DOWN: AUTO RETRY 3/3 https://cdn2.jiuse2.cloud/hls/843227/index27.ts
14:31:10.386 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index26.ts
14:31:10.604 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index27.ts
14:31:11.098 / (ERROR) DOWN: AUTO RETRY 3/3 https://cdn2.jiuse2.cloud/hls/843227/index29.ts
14:31:16.403 / (NORMAL) 完成数量 20 of 31
14:31:16.404 / (NORMAL) 重试次数 1 / 15
14:31:19.415 / (NORMAL) 开始下载文件
14:31:19.893 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index27.ts
14:31:19.894 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index26.ts
14:31:19.894 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index20.ts
14:31:19.894 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index18.ts
14:31:19.894 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index17.ts
14:31:20.900 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/843227/index27.ts
14:31:20.900 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/843227/index18.ts
14:31:20.901 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/843227/index17.ts
14:31:20.902 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/843227/index20.ts
14:31:20.902 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/843227/index26.ts
14:31:21.490 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index27.ts
14:31:21.505 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index17.ts
14:31:21.719 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index20.ts
14:31:21.720 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index26.ts
14:31:22.501 / (ERROR) DOWN: AUTO RETRY 2/3 https://cdn2.jiuse2.cloud/hls/843227/index27.ts
14:31:22.517 / (ERROR) DOWN: AUTO RETRY 2/3 https://cdn2.jiuse2.cloud/hls/843227/index17.ts
14:31:22.732 / (ERROR) DOWN: AUTO RETRY 2/3 https://cdn2.jiuse2.cloud/hls/843227/index20.ts
14:31:22.733 / (ERROR) DOWN: AUTO RETRY 2/3 https://cdn2.jiuse2.cloud/hls/843227/index26.ts
14:31:23.202 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index20.ts
14:31:23.296 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index17.ts
14:31:24.215 / (ERROR) DOWN: AUTO RETRY 3/3 https://cdn2.jiuse2.cloud/hls/843227/index20.ts
14:31:24.310 / (ERROR) DOWN: AUTO RETRY 3/3 https://cdn2.jiuse2.cloud/hls/843227/index17.ts
14:31:24.787 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/843227/index17.ts
14:31:29.453 / (NORMAL) 完成数量 30 of 31
14:31:29.453 / (NORMAL) 重试次数 2 / 15
14:31:32.466 / (NORMAL) 开始下载文件
14:31:33.099 / (NORMAL) 开始合并分片...
14:31:33.225 / (NORMAL) 结果输出至 [ffreport.log]
14:31:33.225 / (NORMAL) 任务结束

Task End: 2024/04/21 14:31:33
File: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Downloads\单男无套爆操黑丝E奶御姐.mp4


